datetime,s1,s2
23/03/2023,-0.004801629,0.495907844
24/03/2023,-0.004353427,0.500769204
25/03/2023,-0.004377652,0.519618541
26/03/2023,-0.006064397,0.526074865
27/03/2023,-0.005921357,0.527696759
28/03/2023,-0.005535926,0.522173096
29/03/2023,-0.004920358,0.517653182
30/03/2023,-0.004382496,0.51519469
31/03/2023,-0.004564191,0.532696699
01/04/2023,-0.005487449,0.534647966
02/04/2023,-0.006491153,0.534988486
03/04/2023,-0.006209872,0.535396615
04/04/2023,-0.005923781,0.536742019
05/04/2023,-0.005208731,0.529475503
06/04/2023,-0.005029402,0.527416917
07/04/2023,-0.004804052,0.536075336
08/04/2023,-0.005705603,0.527558514
09/04/2023,-0.006122586,0.52104677
10/04/2023,-0.005853477,0.524966462
11/04/2023,-0.005138451,0.531136426
12/04/2023,-0.004750747,0.53480667
13/04/2023,-0.004690175,0.535510595
14/04/2023,-0.004256532,0.531506415
15/04/2023,-0.004171752,0.521948606
16/04/2023,-0.005567436,0.524781047
17/04/2023,-0.005887416,0.518845649
18/04/2023,-0.005380804,0.519475771
19/04/2023,-0.005206307,0.517703669
20/04/2023,-0.005155415,0.518342939
21/04/2023,-0.005482601,0.517542102
22/04/2023,-0.005880143,0.523470427
23/04/2023,-0.00669729,0.519304418
24/04/2023,-0.006511928,0.529407343
25/04/2023,-0.006314135,0.512973542
26/04/2023,-0.006037728,0.512586228
27/04/2023,-0.005426855,0.5127317
28/04/2023,-0.004668369,0.513359014
29/04/2023,-0.004976091,0.513727438
30/04/2023,-0.005189343,0.513605772
01/05/2023,-0.004639296,0.514043362
02/05/2023,-0.003881106,0.511184533
03/05/2023,0.254543273,0.514159906
04/05/2023,0.2503748,0.516160964
05/05/2023,-4.12E-05,0.519811668
06/05/2023,-8.48E-05,0.520149128
07/05/2023,-0.000386948,0.520498217
08/05/2023,-0.001521158,0.52074653
09/05/2023,-0.002237322,0.52863064
10/05/2023,-0.00168566,0.545594482
11/05/2023,-0.001136567,0.52736527
12/05/2023,-0.00083185,0.527678439
13/05/2023,-0.00077865,0.521883259
14/05/2023,-0.00094309,0.521256379
15/05/2023,-0.00123815,0.520870663
16/05/2023,-0.001818722,0.520269981
17/05/2023,0.000171458,0.517747422
18/05/2023,0.230791829,0.520759951
19/05/2023,0.502178787,0.520575402
20/05/2023,0.503559082,0.519626939
21/05/2023,0.506365047,0.517385559
22/05/2023,0.506867106,0.520567013
23/05/2023,0.506591431,0.520078624
24/05/2023,0.505179525,0.517028614
25/05/2023,0.505067032,0.520327045
26/05/2023,0.505227246,0.520296835
27/05/2023,0.505315864,0.519840214
28/05/2023,0.505150551,0.520582114
29/05/2023,0.50463569,0.520421025
30/05/2023,0.503794635,0.519117912
31/05/2023,0.502877713,0.518944815
01/06/2023,0.501481085,0.519343059
02/06/2023,0.500012279,0.515088393
03/06/2023,0.498594516,0.510916834
04/06/2023,0.495593018,0.507654574
05/06/2023,0.49134802,0.504676616
06/06/2023,0.485854588,0.503002409
07/06/2023,0.480618258,0.500582594
08/06/2023,0.475459143,0.497245198
09/06/2023,0.468022932,0.491532877
10/06/2023,0.456899845,0.487657769
11/06/2023,0.441831868,0.482754622
12/06/2023,0.423278165,0.477558738
13/06/2023,0.402898018,0.471611959
14/06/2023,0.383459931,0.465144811
15/06/2023,0.366682673,0.458239428
16/06/2023,0.351224749,0.451688315
17/06/2023,0.336066956,0.445127025
18/06/2023,0.327215607,0.438897136
19/06/2023,0.320186794,0.43361361
20/06/2023,0.321495002,0.443742576
21/06/2023,0.35136315,0.460122054
22/06/2023,0.381418789,0.4733835
23/06/2023,0.422133877,0.481492514
24/06/2023,0.405672861,0.471828502
25/06/2023,0.385118148,0.464606189
26/06/2023,0.36060261,0.458565603
27/06/2023,0.343227339,0.45365202
28/06/2023,0.334000791,0.450085743
29/06/2023,0.327443852,0.447109559
30/06/2023,0.319358547,0.443093987
01/07/2023,0.315664271,0.439627909
02/07/2023,0.313129726,0.437637576
03/07/2023,0.308495454,0.433387614
04/07/2023,0.305369109,0.428688105
05/07/2023,0.303306569,0.427602278
06/07/2023,0.301550416,0.426887602
07/07/2023,0.29918048,0.423546597
08/07/2023,0.296713221,0.416761731
09/07/2023,0.294642029,0.411127138
10/07/2023,0.292948311,0.40920451
11/07/2023,0.291126281,0.403313251
12/07/2023,0.289134657,0.399118819
13/07/2023,0.287718245,0.394787401
14/07/2023,0.286439416,0.38932872
15/07/2023,0.284807563,0.384742252
16/07/2023,0.282630927,0.382400781
17/07/2023,0.28094757,0.377569017
18/07/2023,0.278972616,0.369899237
19/07/2023,0.277889562,0.357729258
20/07/2023,0.276692537,0.352354918
21/07/2023,0.275863092,0.351300774
22/07/2023,0.276931198,0.35138654
23/07/2023,0.278331513,0.359479606
24/07/2023,0.297668604,0.418243745
25/07/2023,0.308062776,0.41763047
26/07/2023,0.307058044,0.410324252
27/07/2023,0.318699583,0.447844005
28/07/2023,0.328136289,0.443487882
29/07/2023,0.324181271,0.43224784
30/07/2023,0.321839794,0.436407521
31/07/2023,0.350140428,0.473947592
01/08/2023,0.387945098,0.468521
02/08/2023,0.390472675,0.477847587
03/08/2023,0.419607686,0.489578972
04/08/2023,0.417429054,0.480791073
05/08/2023,0.41001931,0.475122259
06/08/2023,0.505235767,0.502949458
07/08/2023,0.497930382,0.495851079
08/08/2023,0.491558788,0.486679339
09/08/2023,0.493627889,0.487947305
10/08/2023,0.486389448,0.477276815
11/08/2023,0.479928458,0.469398237
12/08/2023,0.482123759,0.482320727
13/08/2023,0.480223643,0.471238627
14/08/2023,0.476756548,0.462093805
15/08/2023,0.473750809,0.454042194
16/08/2023,0.47107129,0.450166555
17/08/2023,0.469803959,0.447204993
18/08/2023,0.469452931,0.444885276
19/08/2023,0.468729343,0.4421828
20/08/2023,0.465332557,0.437617601
21/08/2023,0.460929678,0.431254856
22/08/2023,0.457672402,0.42583861
23/08/2023,0.453988509,0.420817107
24/08/2023,0.453716462,0.418036893
25/08/2023,0.469717536,0.43915287
26/08/2023,0.466001799,0.44534708
27/08/2023,0.467819753,0.445211805
28/08/2023,0.467674854,0.446751162
29/08/2023,0.465798237,0.44404416
30/08/2023,0.46453707,0.443009046
31/08/2023,0.463804847,0.442978321
01/09/2023,0.477306587,0.455181499
02/09/2023,0.476793343,0.460424539
03/09/2023,0.472428606,0.454899019
04/09/2023,0.470056135,0.448489845
05/09/2023,0.467851557,0.44327469
06/09/2023,0.465378603,0.437566753
07/09/2023,0.462216366,0.431300509
08/09/2023,0.459673511,0.425093468
09/09/2023,0.456657082,0.41928115
10/09/2023,0.450886422,0.413493603
11/09/2023,0.445705928,0.406911525
12/09/2023,0.441593027,0.401411734
13/09/2023,0.438370977,0.394244888
14/09/2023,0.434821202,0.387393867
15/09/2023,0.431468493,0.38238366
16/09/2023,0.42735494,0.377513634
17/09/2023,0.428296373,0.386467017
18/09/2023,0.428294542,0.388009487
19/09/2023,0.42657227,0.386838599
20/09/2023,0.424246802,0.383570168
21/09/2023,0.430584471,0.388018956
22/09/2023,0.439051309,0.397669213
23/09/2023,0.4407096,0.402098947
24/09/2023,0.436818293,0.400763484
25/09/2023,0.433097763,0.398636436
26/09/2023,0.43029391,0.397011437
27/09/2023,0.42777813,0.394932407
28/09/2023,0.424950258,0.391715637
29/09/2023,0.422577376,0.389150885
30/09/2023,0.420935032,0.388753504
01/10/2023,0.417619384,0.385879084
02/10/2023,0.411803223,0.383191901
03/10/2023,0.407226582,0.38058463
04/10/2023,0.405409667,0.378809712
05/10/2023,0.402106435,0.377981446
06/10/2023,0.398448686,0.375977221
07/10/2023,0.394224162,0.373567545
08/10/2023,0.388660763,0.370949781
09/10/2023,0.384812504,0.368740134
10/10/2023,0.380956071,0.366802093
11/10/2023,0.376145477,0.364290004
12/10/2023,0.374013845,0.373146001
13/10/2023,0.387103946,0.389540573
14/10/2023,0.427946631,0.411468943
15/10/2023,0.430502244,0.417183242
16/10/2023,0.433449585,0.419102161
17/10/2023,0.427168027,0.412883415
18/10/2023,0.430273806,0.415122318
19/10/2023,0.443744382,0.430547927
20/10/2023,0.471196355,0.45160044
21/10/2023,0.492546404,0.449613323
22/10/2023,0.495980085,0.451625548
23/10/2023,0.498978726,0.466113299
24/10/2023,0.503770741,0.474537722
25/10/2023,0.508237544,0.48302811
26/10/2023,0.510560918,0.478537004
27/10/2023,0.527656787,0.499563336
28/10/2023,0.526765298,0.496540642
29/10/2023,0.52972815,0.499069611
30/10/2023,0.532269165,0.500404512
31/10/2023,0.535409831,0.508363271
01/11/2023,0.537431305,0.511743419
02/11/2023,0.537287883,0.506463777
03/11/2023,0.537518666,0.504338928
04/11/2023,0.537818599,0.503048526
05/11/2023,0.539298723,0.507436934
06/11/2023,0.540561305,0.506734383
07/11/2023,0.540917739,0.503729778
08/11/2023,0.541557992,0.504255341
09/11/2023,0.544021289,0.515508454
10/11/2023,0.544438562,0.516735553
11/11/2023,0.544950485,0.525444034
12/11/2023,0.544975011,0.517372092
13/11/2023,0.545437611,0.523722994
14/11/2023,0.54611556,0.534798405
15/11/2023,0.546167815,0.547437344
16/11/2023,0.545919578,0.545935912
17/11/2023,0.546192308,0.544921053
18/11/2023,0.546337623,0.545033871
19/11/2023,0.546753845,0.5476868
20/11/2023,0.546964332,0.546133523
21/11/2023,0.546765268,0.54552422
22/11/2023,0.545262733,0.543567802
23/11/2023,0.544057296,0.542843725
24/11/2023,0.543569439,0.542688023
25/11/2023,0.542725722,0.543425325
26/11/2023,0.543187814,0.543251702
27/11/2023,0.54544905,0.546450266
28/11/2023,0.543615289,0.546959438
29/11/2023,0.544536716,0.546744053
30/11/2023,0.54312556,0.546686935
01/12/2023,0.54269294,0.545846074
02/12/2023,0.542633931,0.544961931
03/12/2023,0.5422388,0.544679021
04/12/2023,0.543844504,0.545238215
05/12/2023,0.545264367,0.546190676
06/12/2023,0.543232045,0.5451385
07/12/2023,0.543146858,0.54503714
08/12/2023,0.542866668,0.545297057
09/12/2023,0.543628389,0.546027373
10/12/2023,0.542873223,0.54695128
11/12/2023,0.543192729,0.546987173
12/12/2023,0.543818311,0.546814222
13/12/2023,0.543914895,0.546794641
14/12/2023,0.543526862,0.546856647
15/12/2023,0.543855964,0.546091065
16/12/2023,0.544292947,0.545643499
17/12/2023,0.546203738,0.545542195
18/12/2023,0.545623893,0.545288885
19/12/2023,0.546014308,0.545248022
20/12/2023,0.546046971,0.545256195
21/12/2023,0.546048604,0.54514177
22/12/2023,0.546458428,0.545158117
23/12/2023,0.546081266,0.545270906
24/12/2023,0.546974121,0.545507879
25/12/2023,0.546887648,0.545586312
26/12/2023,0.547192713,0.545535658
27/12/2023,0.546492708,0.545337918
28/12/2023,0.546164549,0.545251291
29/12/2023,0.544889985,0.545223503
30/12/2023,0.544090029,0.545064934
31/12/2023,0.543972185,0.544762431
01/01/2024,0.544651216,0.544868727
