layer_ID,sand,silt,clay,rho_b,OM,topsoil,theta_sat,theta_fc,theta_wp,theta_r,alpha,vG_n,vG_m,Ks_cm_day,ptf_method,ksat_method
L_01,62.4,23,14.6,1.2,2.5,1,0.487,0.247217949,0.116847984,0,0.093293952,1.197045889,0.164610138,75.48227104,Zacharias_Wessolek_2007,Cosby_1984_Ks
L_02,62.4,23,14.6,1.2,2.5,1,0.487,0.247217949,0.116847984,0,0.093293952,1.197045889,0.164610138,75.48227104,Zacharias_Wessolek_2007,Cosby_1984_Ks
L_03,62.4,23,14.6,1.2,2.5,1,0.487,0.247217949,0.116847984,0,0.093293952,1.197045889,0.164610138,75.48227104,Zacharias_Wessolek_2007,Cosby_1984_Ks
L_04,62.4,23,14.6,1.2,2.5,1,0.487,0.247217949,0.116847984,0,0.093293952,1.197045889,0.164610138,75.48227104,Zacharias_Wessolek_2007,Cosby_1984_Ks
