date,aET
01/01/2000,272.739
09/01/2000,239.429
17/01/2000,258.441
25/01/2000,268.128
02/02/2000,296.682
10/02/2000,264.4
18/02/2000,308.111
26/02/2000,263.277
05/03/2000,301.248
13/03/2000,326.587
21/03/2000,286.466
29/03/2000,281.916
06/04/2000,296.319
14/04/2000,267.755
22/04/2000,250.637
30/04/2000,245.501
08/05/2000,194.363
16/05/2000,145.568
24/05/2000,121.04
01/06/2000,140.862
09/06/2000,132.968
17/06/2000,144.456
25/06/2000,106.066
03/07/2000,106.099
11/07/2000,100.005
19/07/2000,71.198
27/07/2000,95.604
04/08/2000,77.056
12/08/2000,95.016
20/08/2000,85.904
28/08/2000,68.24
05/09/2000,65.378
13/09/2000,68.058
21/09/2000,74.434
29/09/2000,66.494
07/10/2000,63.299
15/10/2000,47.791
23/10/2000,58.211
31/10/2000,112.988
08/11/2000,134.65
16/11/2000,113.716
24/11/2000,173.189
02/12/2000,181.772
10/12/2000,178.795
18/12/2000,214.542
26/12/2000,186.305
01/01/2001,273.79
09/01/2001,274.275
17/01/2001,314.203
25/01/2001,285.53
02/02/2001,274.605
10/02/2001,249.088
18/02/2001,284.053
26/02/2001,261.969
06/03/2001,290.445
14/03/2001,256.395
22/03/2001,313.922
30/03/2001,308.165
07/04/2001,293.356
15/04/2001,284.979
23/04/2001,238.402
01/05/2001,198.647
09/05/2001,172.477
17/05/2001,168.154
25/05/2001,124.852
02/06/2001,114.108
10/06/2001,96.772
18/06/2001,89.552
26/06/2001,89.059
04/07/2001,89.742
12/07/2001,67.158
20/07/2001,52.96
28/07/2001,75.192
05/08/2001,62.522
13/08/2001,66.187
21/08/2001,57.266
29/08/2001,62.351
06/09/2001,52.328
14/09/2001,59.814
22/09/2001,46.254
30/09/2001,52.16
08/10/2001,57.75
16/10/2001,63.094
24/10/2001,52.379
01/11/2001,85.299
09/11/2001,67.542
17/11/2001,76.03
25/11/2001,86.308
03/12/2001,95.122
11/12/2001,113.341
19/12/2001,124.213
27/12/2001,107.769
01/01/2002,194.541
09/01/2002,213.37
17/01/2002,231.84
25/01/2002,243.842
02/02/2002,240.692
10/02/2002,281.574
18/02/2002,309.596
26/02/2002,329.447
06/03/2002,311.686
14/03/2002,299.114
22/03/2002,283.719
30/03/2002,286.99
07/04/2002,277.651
15/04/2002,229.069
23/04/2002,188.16
01/05/2002,152.097
09/05/2002,121.81
17/05/2002,117.643
25/05/2002,125.974
02/06/2002,110.49
10/06/2002,91.437
18/06/2002,87.852
26/06/2002,76.636
04/07/2002,73.44
12/07/2002,66.964
20/07/2002,52.039
28/07/2002,64.226
05/08/2002,67.345
13/08/2002,64.159
21/08/2002,73.271
29/08/2002,65.084
06/09/2002,78.501
14/09/2002,91.792
22/09/2002,64.629
30/09/2002,53.487
08/10/2002,81.838
16/10/2002,60.381
24/10/2002,59.455
01/11/2002,69.277
09/11/2002,80.733
17/11/2002,65.759
25/11/2002,79.835
03/12/2002,100.496
11/12/2002,159.776
19/12/2002,208.067
27/12/2002,85.684
