layer_ID,sand,silt,clay,rho_b,OM,topsoil,theta_sat,theta_fc,theta_wp,theta_r,alpha,vG_n,vG_m,Ks_cm_day,ptf_method,ksat_method
L_01,62.4,23,14.6,1.2,2.5,1,0.487,0.24721794886726367,0.11684798447228892,0.0,0.09329395166237625,1.1970458888743414,0.16461013792849344,75.48227103926024,Zacharias_Wessolek_2007,Cosby_1984_Ks
L_02,62.4,23,14.6,1.2,2.5,1,0.487,0.24721794886726367,0.11684798447228892,0.0,0.09329395166237625,1.1970458888743414,0.16461013792849344,75.48227103926024,Zacharias_Wessolek_2007,Cosby_1984_Ks
L_03,62.4,23,14.6,1.2,2.5,1,0.487,0.24721794886726367,0.11684798447228892,0.0,0.09329395166237625,1.1970458888743414,0.16461013792849344,75.48227103926024,Zacharias_Wessolek_2007,Cosby_1984_Ks
L_04,62.4,23,14.6,1.2,2.5,1,0.487,0.24721794886726367,0.11684798447228892,0.0,0.09329395166237625,1.1970458888743414,0.16461013792849344,75.48227103926024,Zacharias_Wessolek_2007,Cosby_1984_Ks
