layer_ID,sand,silt,clay,rho_b,OM,topsoil,theta_sat,theta_fc,theta_wp,theta_r,alpha,vG_n,vG_m,Ks_cm_day,ptf_method,ksat_method
L_01,27.59,65.95,6.46,1.182799,2.5,1,0.4917193735676112,0.2739980694564004,0.0864379639605614,0.01,0.017407142795842583,1.3307734233952062,0.2485572807362676,106.77538599045174,Wosten_1999,Gupta_2021_Ks
L_02,27.59,65.95,6.46,1.182799,2.5,1,0.4917193735676112,0.2739980694564004,0.0864379639605614,0.01,0.017407142795842583,1.3307734233952062,0.2485572807362676,106.77538599045174,Wosten_1999,Gupta_2021_Ks
L_03,27.59,65.95,6.46,1.182799,2.5,1,0.4917193735676112,0.2739980694564004,0.0864379639605614,0.01,0.017407142795842583,1.3307734233952062,0.2485572807362676,106.77538599045174,Wosten_1999,Gupta_2021_Ks
L_04,27.59,65.95,6.46,1.182799,2.5,1,0.4917193735676112,0.2739980694564004,0.0864379639605614,0.01,0.017407142795842583,1.3307734233952062,0.2485572807362676,106.77538599045174,Wosten_1999,Gupta_2021_Ks
