time,max_daily_temperature,min_daily_temperature,precipitation,Potential_evapotranspiration,global_radiation,wind_speed,mean_daily_temperature
01/01/1994,5.4,1.8,10.6,0.4,0.63,3.8,3.6
02/01/1994,9.5,-0.2,4.4,0.9,0.26,6.3,4.65
03/01/1994,10.3,3.7,6.5,1.2,0.23,6.3,7
04/01/1994,8.5,5.4,2.5,1,0.67,6.7,6.95
05/01/1994,9.5,3.8,10.9,0.9,0.25,5.7,6.65
06/01/1994,8.5,4.5,2.4,0.8,0.37,3.8,6.5
07/01/1994,6,3.9,0,0.5,0.67,2.9,4.95
08/01/1994,6.5,1.9,0,0.4,0.73,2.6,4.2
09/01/1994,5.8,-2.5,0,0.4,0.99,3.7,1.65
10/01/1994,6.1,-1.5,0.4,0.5,0.23,2,2.3
11/01/1994,8.1,1.7,1.9,0.6,0.44,4.7,4.9
12/01/1994,13.4,5,10.3,1.3,0.19,8.5,9.2
13/01/1994,10.8,7.7,0.2,1.7,0.5,7.8,9.25
14/01/1994,9.5,6.9,0,1.1,1.17,6,8.2
15/01/1994,5.7,4.3,0,0.4,0.52,2.5,5
16/01/1994,6.1,-0.7,0,0.4,0.69,1.4,2.7
17/01/1994,3.9,-3.4,0,0.1,1.43,1.8,0.25
18/01/1994,3.9,-3.3,2.1,0.8,0.67,6.8,0.3
19/01/1994,2.9,1.2,5.6,0.5,0.17,3.1,2.05
20/01/1994,6,0.2,0,0.4,1.33,3.6,3.1
21/01/1994,6.3,0.2,1,0.5,0.36,4.8,3.25
22/01/1994,9.9,3,5.2,0.5,0.21,5.3,6.45
23/01/1994,10.7,6.2,11.3,1.3,0.22,5.6,8.45
24/01/1994,9.4,3.8,0,0.6,0.6,3,6.6
25/01/1994,11.8,4.6,7.4,1.4,0.26,8.8,8.2
26/01/1994,9,5.1,0.1,1.6,0.59,8,7.05
27/01/1994,11.1,4.9,8.6,1.6,0.21,10.2,8
28/01/1994,6.2,3.3,0.7,1.7,0.99,6.7,4.75
29/01/1994,7.5,0.6,0.9,0.8,0.38,6.1,4.05
30/01/1994,8.9,0.9,5.8,1,0.37,5.2,4.9
31/01/1994,8,3.1,0,0.9,1.45,3.7,5.55
01/02/1994,9.1,2.9,1.3,1.2,0.36,6.5,6
02/02/1994,8.3,4.5,0,0.6,1.07,1.9,6.4
03/02/1994,7.7,0,10.6,0.4,0.43,3.4,3.85
04/02/1994,8.2,2.1,0.8,0.4,0.54,0.7,5.15
05/02/1994,8.7,3.1,0,0.4,1.04,1.8,5.9
06/02/1994,8.2,4.8,0,0.4,1.06,2.3,6.5
07/02/1994,7.4,-0.2,4.9,0.4,0.69,2.3,3.6
08/02/1994,7.5,0.4,0.2,0.5,0.99,2.3,3.95
09/02/1994,7.6,2.3,0.9,0.7,0.52,4.4,4.95
10/02/1994,7.2,4.5,2.3,0.7,1.1,3.2,5.85
11/02/1994,5.5,1.7,0,0.6,1.22,2.2,3.6
12/02/1994,3.6,-0.8,0,0.6,1.5,3.3,1.4
13/02/1994,0.3,-1.4,0.1,0.9,1.03,6.4,-0.55
14/02/1994,-0.3,-7.5,0,1.2,2.19,7.8,-3.9
15/02/1994,3.6,-7.1,0,0.7,1.2,3.6,-1.75
16/02/1994,7.8,-2.1,0,0.6,2.18,1.1,2.85
17/02/1994,4.5,-4.9,0,0.4,2.43,0.8,-0.2
18/02/1994,5.6,-6,0,0.7,2.37,2.1,-0.2
19/02/1994,6,-6.6,0,0.8,2.47,2.1,-0.3
20/02/1994,-0.8,-5.5,0,0.6,1.97,2.5,-3.15
21/02/1994,-1,-10.5,1.7,0.3,1,2,-5.75
22/02/1994,-0.3,-9.4,7.4,0.3,0.59,2.1,-4.85
23/02/1994,4.2,-3.3,6,0.4,1.48,2.3,0.45
24/02/1994,6.9,-1,0.3,0.5,1.05,0.9,2.95
25/02/1994,3.9,0.9,0,0.4,0.38,1.5,2.4
26/02/1994,12.5,0.9,0,0.9,1.64,2.3,6.7
27/02/1994,11.9,3.6,3,0.7,0.75,2.7,7.75
28/02/1994,12.3,5.8,5.2,0.7,1.54,2,9.05
01/03/1994,8,5.5,1.9,0.7,0.52,3.4,6.75
02/03/1994,8.7,4.1,5.5,0.6,0.46,4.5,6.4
03/03/1994,10.6,3.4,3.6,1,1.54,5.2,7
04/03/1994,11,3.2,0,1.2,2.88,3.4,7.1
05/03/1994,14.2,1.3,2.5,1.5,3.06,4.8,7.75
06/03/1994,10.1,3.7,0.1,1.1,2.26,5.8,6.9
07/03/1994,11.4,4.6,1.5,0.5,0.61,6.1,8
08/03/1994,12.7,8.2,0,0.9,0.95,5.9,10.45
09/03/1994,11.9,9,0,1,1.58,4.8,10.45
10/03/1994,10.7,7.5,0,1.4,3.65,2.4,9.1
11/03/1994,11.3,-1.2,0,1.4,3.32,2.9,5.05
12/03/1994,9.9,-0.6,2.2,1.4,2.69,7.1,4.65
13/03/1994,11.9,5.5,0.3,1.6,0.81,7.9,8.7
14/03/1994,13.4,6.1,0.1,1.1,1.2,8.6,9.75
15/03/1994,10.9,7.1,16.3,0.7,0.4,6.1,9
16/03/1994,9.2,4.2,3,1.9,2.55,9.1,6.7
17/03/1994,7.7,4.1,1.3,1.6,2.19,6.8,5.9
18/03/1994,9.1,3.4,20.3,0.7,1.48,6.9,6.25
19/03/1994,7.8,3,2.5,1.3,2.68,4.9,5.4
20/03/1994,8,3,0,1.3,3.26,3,5.5
21/03/1994,9.6,0.4,0,1.2,3.19,2,5
22/03/1994,10.2,-2,6.4,0.9,1.72,6,4.1
