time,max_daily_temperature,min_daily_temperature,precipitation,Potential_evapotranspiration,global_radiation,wind_speed,mean_daily_temperature
23/03/1994,13.8,1.5,3.6,0.7,0.48,9.8,7.65
24/03/1994,12.3,9.4,8.2,1.7,2.48,6.2,10.85
25/03/1994,11.6,8,8.8,0.9,0.64,7,9.8
26/03/1994,7.9,5,0.5,1.3,3.01,3.1,6.45
27/03/1994,9.7,-2.4,0,1.6,4.83,2.7,3.65
28/03/1994,13.1,-1.2,0.3,1.2,1.69,5.9,5.95
29/03/1994,14.8,6.9,0,1.4,2.22,4.7,10.85
30/03/1994,20.1,8.7,4.2,3.1,4.68,6.7,14.4
31/03/1994,14.4,8.4,10.8,2.4,3.53,8.2,11.4
01/04/1994,11.2,8.1,8,1.7,2.48,8.7,9.65
02/04/1994,8.2,4.9,1.7,1.3,2.96,4.3,6.55
03/04/1994,10.2,2.5,9.9,1.5,2.97,6.2,6.35
04/04/1994,11,3,7.6,0.9,1.36,7.1,7
05/04/1994,6.7,2.3,5.7,0.9,1.97,4.6,4.5
06/04/1994,9.5,3.1,1.8,1.5,3.79,2.4,6.3
07/04/1994,10.5,-1.2,4,1.2,2.62,2.8,4.65
08/04/1994,9.9,-0.4,7.6,1.3,1.92,6,4.75
09/04/1994,5.8,4.1,9.1,1,2.22,2.6,4.95
10/04/1994,10.1,-2.3,0,1.9,4.75,2.6,3.9
11/04/1994,13.6,0.1,0,2.1,4.48,4.3,6.85
12/04/1994,14.5,5.7,0,2.5,4.88,4.5,10.1
13/04/1994,12,6.7,0,2.2,3.26,5.5,9.35
14/04/1994,9.7,4.1,2.9,1.8,4.16,3.3,6.9
15/04/1994,8.9,4.5,0.5,1.2,2.08,2,6.7
16/04/1994,14.6,4.9,0,2.7,5.51,4.7,9.75
17/04/1994,11.7,5.2,0,2.1,3.63,4.8,8.45
18/04/1994,10.4,2.5,0,2.2,5.06,2.3,6.45
19/04/1994,10.1,1.1,0,1.6,3.46,0.9,5.6
20/04/1994,13.1,1.5,0,1.7,3.1,1.1,7.3
21/04/1994,14.9,4,0,2.2,3.92,2.2,9.45
22/04/1994,18.9,3.1,0,2.7,4.95,2,11
23/04/1994,21,6.2,0,3,4.83,3.7,13.6
24/04/1994,19.8,6.3,11.4,2.5,4.3,2.7,13.05
25/04/1994,14.4,8.8,0.4,2.4,3.93,3.3,11.6
26/04/1994,15.7,6.4,1,1.1,1.58,3.7,11.05
27/04/1994,17.1,9.3,1.7,1.4,1.74,3.8,13.2
28/04/1994,19.8,13,0,2.5,4.27,2,16.4
29/04/1994,23.2,7.4,0,3.6,6.51,1.4,15.3
30/04/1994,20,9.3,0,3.2,5.43,3.5,14.65
01/05/1994,14.2,7,0,3.2,6.81,2.4,10.6
02/05/1994,15.8,2.5,0,3.2,6.95,2.6,9.15
03/05/1994,22.8,4.2,0,4.4,6.42,3.9,13.5
04/05/1994,15.1,7.6,10.5,2.3,3.48,4.3,11.35
05/05/1994,14.3,8.5,2.5,2.1,3.42,4,11.4
06/05/1994,13.7,8.9,4.3,0.9,1.19,1.9,11.3
07/05/1994,21.5,11.6,0,2.9,4.13,3.2,16.55
08/05/1994,12.6,12.3,3.4,1.2,1.57,2.3,12.45
09/05/1994,15.9,6.6,0,3,6.08,2,11.25
10/05/1994,15.5,6.6,0,2.1,3.77,1.1,11.05
11/05/1994,21.9,6.9,0,4.5,6.76,4.5,14.4
12/05/1994,20.1,9.6,0,3.4,5.88,2.7,14.85
13/05/1994,22.2,7.9,0,3.6,5.94,2.8,15.05
14/05/1994,21.7,9.7,3,2.5,3.81,3.8,15.7
15/05/1994,21.3,12.5,2.4,4,6.42,3.1,16.9
16/05/1994,20.5,11.8,2.6,3.2,5.31,2.6,16.15
17/05/1994,17.1,12.6,5.9,1.7,2.3,1.9,14.85
18/05/1994,17.2,7.9,0,2.2,3.34,3.1,12.55
19/05/1994,16.3,9.3,0,2.5,4.18,2.2,12.8
20/05/1994,17.4,8.2,3.4,2,3.44,1.8,12.8
21/05/1994,17.6,8.8,18.4,2.1,3.48,3.2,13.2
22/05/1994,17.1,11.4,5.4,1.9,2.86,2.3,14.25
23/05/1994,18.2,9.9,0.7,2.8,5.04,2,14.05
24/05/1994,17.4,8.4,4.5,2.1,3.45,2.9,12.9
25/05/1994,14.1,9.7,0.3,1.5,2.17,2.1,11.9
26/05/1994,12.3,8.7,9.8,1.1,1.44,2.2,10.5
27/05/1994,12.4,8.3,0,2.1,3.43,1.9,10.35
28/05/1994,12.9,7.3,0,1.6,2.15,1.6,10.1
29/05/1994,13.8,8.4,0,2.4,3.91,2,11.1
30/05/1994,16,3.3,0,3.6,7.41,1.5,9.65
31/05/1994,19.9,3.8,0,3.9,7.56,1,11.85
01/06/1994,26.3,5.9,2.5,4.8,7.42,2.8,16.1
02/06/1994,17,10.4,16.5,1.1,1.14,3.4,13.7
03/06/1994,17.3,13.3,8.8,3.1,4.48,6.8,15.3
04/06/1994,13.9,10.4,28.3,1.9,3.07,5.1,12.15
05/06/1994,14.8,9.1,0.1,3.5,6.52,4,11.95
06/06/1994,15.2,9.1,0.5,1.2,1.57,2.5,12.15
07/06/1994,16.8,10.9,0,1.9,2.67,2.5,13.85
08/06/1994,18.6,9.9,5.8,2,3.1,2,14.25
09/06/1994,14.8,6.7,1.2,2.4,3.97,4.4,10.75
10/06/1994,15.4,10,1,2.8,4.67,4.1,12.7
11/06/1994,16.5,9.5,0.2,3.1,5.72,2.3,13
12/06/1994,19.7,8.7,0,3.7,6.62,2.3,14.2
13/06/1994,20.3,9.7,0,4.2,7.5,1.8,15
14/06/1994,22.3,10,0,4.5,7.87,2.7,16.15
15/06/1994,20.1,10,0,4.4,7.29,3.8,15.05
16/06/1994,17,12.4,0,2.3,2.85,4.1,14.7
17/06/1994,21.5,13.3,0,3.4,4.58,2.3,17.4
18/06/1994,25,13.6,0,5.9,6.92,5.5,19.3
19/06/1994,23.9,12.9,0,4.6,7.36,3.7,18.4
20/06/1994,20.4,14.2,0,2.7,3.19,3,17.3
21/06/1994,21.4,13.3,0.2,3.9,4.31,6.8,17.35
22/06/1994,22,15.2,0.2,3.8,5.02,4.6,18.6
23/06/1994,22.2,11.9,0,5,8.07,2.1,17.05
24/06/1994,29.3,10.6,0,6.2,8.07,3.9,19.95
25/06/1994,24.4,14.5,0,3.4,4.79,3.1,19.45
26/06/1994,23.9,16.8,0,3.6,4.78,2.6,20.35
27/06/1994,25.8,14.3,0,4.9,7.5,1.6,20.05
28/06/1994,29.9,14.7,0,5.1,7.22,1.3,22.3
29/06/1994,23.6,17.7,0,4.9,7.08,3.6,20.65
30/06/1994,24,10.5,0,4.7,7.4,2.5,17.25
01/07/1994,28.3,13.5,0,5.5,7.64,2.7,20.9
02/07/1994,31.5,15.9,0,5.3,6.87,2.7,23.7
03/07/1994,29.9,17.3,0,4.9,6.83,1.5,23.6
04/07/1994,28.3,18.4,10.3,3.9,4.86,3.3,23.35
05/07/1994,20.7,14.6,0,3.2,4.53,2.6,17.65
06/07/1994,20.9,11.9,5.5,2.7,3.85,1.7,16.4
07/07/1994,19.2,13.5,3.3,3.2,5.07,3.5,16.35
08/07/1994,21,11.4,0,3,4.98,1.8,16.2
09/07/1994,22.8,11.5,0,4,6.74,1.2,17.15
10/07/1994,25.6,12.6,0,4.2,6.72,1.1,19.1
11/07/1994,29.5,15.1,0,5.4,7.69,1.9,22.3
12/07/1994,32.6,15.5,0,6,7.65,2.3,24.05
13/07/1994,30.1,17.7,10.1,5,6.31,2.8,23.9
14/07/1994,22.9,17,0,3.6,5.86,2.6,19.95
15/07/1994,25.3,15.5,0,4.2,6.4,1.3,20.4
16/07/1994,26.3,16,0,4.4,6.24,2.1,21.15
17/07/1994,25.2,16.5,0,4.7,6.44,3.2,20.85
18/07/1994,24.4,14.6,0,4,5.71,2.4,19.5
19/07/1994,26.8,14.8,0,4.5,6.44,2,20.8
20/07/1994,26.7,15.1,0,4.5,6.13,1.9,20.9
21/07/1994,29,16.1,0,4.8,6.54,1.7,22.55
22/07/1994,29.7,18.1,0,4.9,6.01,2.3,23.9
23/07/1994,30.7,17.6,0,4.8,6.01,2.1,24.15
24/07/1994,34.1,18.7,0.2,5.6,6.39,2.3,26.4
25/07/1994,28.2,19.6,0.1,3.8,4.7,2.2,23.9
26/07/1994,30.5,18.2,0,4.7,6.12,1.8,24.35
27/07/1994,31.7,17.9,0,4.8,6.26,1.8,24.8
28/07/1994,24.6,20,0,3.2,3.84,3.5,22.3
29/07/1994,25.2,17,0,3.6,5.04,1.8,21.1
30/07/1994,32.1,17.3,5.3,4.5,5.71,2,24.7
31/07/1994,31.2,18,6.3,4.3,5.29,2.7,24.6
01/08/1994,24.2,17.3,7.7,2.8,3.88,2.2,20.75
02/08/1994,26.9,14.1,0,3.9,5.79,1.2,20.5
03/08/1994,30.1,15,0,4.7,6.7,1.3,22.55
04/08/1994,34.2,16.9,0.3,5.5,6.62,2.6,25.55
05/08/1994,24.9,19,3.3,2.3,3.04,1.5,21.95
06/08/1994,25.6,16.9,0,3.3,4.35,2.5,21.25
07/08/1994,25,16,0,4.4,6.35,3,20.5
08/08/1994,23.9,14.6,0,4,6.08,2.5,19.25
09/08/1994,24.6,13.9,1.6,4.8,6.61,3.9,19.25
10/08/1994,25,14.9,0.5,3,4.15,2.1,19.95
11/08/1994,22.3,15.4,0.3,3.4,4.5,4,18.85
12/08/1994,18.3,16.2,0.4,1.9,1.41,4.4,17.25
13/08/1994,19,12.9,0.4,3.1,4.03,3.1,15.95
14/08/1994,19.9,11.1,0.6,2.5,3.64,2.2,15.5
15/08/1994,21.6,7.1,0,2.8,4.96,1.1,14.35
16/08/1994,24.2,7.8,0.7,3.7,5.91,1.9,16
17/08/1994,18.7,9,12.4,2.1,2.71,5.8,13.85
18/08/1994,19.7,11.3,0.1,3.2,4.64,5.1,15.5
19/08/1994,19.9,13.5,8.5,1.3,1.71,3.5,16.7
20/08/1994,20.4,13.8,0,2.9,4.62,2.2,17.1
21/08/1994,22.7,12.3,0,3.1,5.2,1.4,17.5
22/08/1994,25.2,13.3,0,2.7,3.59,2.6,19.25
23/08/1994,24,15.5,12.8,2.3,2.78,3,19.75
24/08/1994,20.7,14.5,0,2.8,4.24,2.7,17.6
25/08/1994,22.3,12.6,0.1,3,4.41,2.8,17.45
26/08/1994,22.2,13.4,0.9,2.2,2.66,3.4,17.8
27/08/1994,20.4,14.7,6.5,1.3,1.47,4.3,17.55
28/08/1994,19.7,12.9,0,3.5,5.06,5.2,16.3
29/08/1994,20.2,10.7,0,3,4.86,3.4,15.45
30/08/1994,20.1,11.4,0,2,3.02,1.7,15.75
31/08/1994,22.7,10.2,4.3,2.6,3.58,3.1,16.45
01/09/1994,20,11.8,2.2,2,2.42,5.1,15.9
02/09/1994,18.9,14.4,2,2.2,2.52,4.8,16.65
03/09/1994,20.5,14.2,0.4,2.3,3.07,3.3,17.35
04/09/1994,21.1,13.9,2.6,2,2.06,4.8,17.5
05/09/1994,19.1,13.9,0.4,2.2,2.76,3.3,16.5
06/09/1994,16.7,8.2,5.5,1.2,1.97,1.3,12.45
07/09/1994,15.2,8.7,16.6,0.8,0.97,1.9,11.95
08/09/1994,19.6,10.2,3.7,1.8,2.64,3.7,14.9
09/09/1994,16.5,11.2,0.6,2,2.38,6.1,13.85
10/09/1994,16.5,11.9,7.6,2.2,3.37,5.7,14.2
11/09/1994,17.2,9.6,4.4,1.2,1.81,3.2,13.4
12/09/1994,20.9,10.5,10.9,2.4,3.25,5.3,15.7
13/09/1994,19.3,11.7,0.1,2.2,3.85,2.7,15.5
14/09/1994,14.4,9.8,11.5,0.7,0.75,1.5,12.1
15/09/1994,14.5,8.3,8.4,0.9,1.11,5.5,11.4
16/09/1994,13.7,10.8,10.4,1.4,1.7,5.8,12.25
17/09/1994,12.2,8.9,19.7,0.9,1.18,4.9,10.55
18/09/1994,15.7,9.1,8.6,1.1,2.06,2.4,12.4
19/09/1994,15.4,10.9,3.2,1.6,2.37,3.1,13.15
20/09/1994,11.7,9.5,17.4,0.6,0.68,2.7,10.6
21/09/1994,18,9.6,0.1,1.6,3.06,2.5,13.8
22/09/1994,19.2,9.4,0,1.9,3.83,2.8,14.3
23/09/1994,20.8,9.7,0,2.1,3.71,3,15.25
24/09/1994,21.6,9.9,1.1,1.3,2.05,1.8,15.75
25/09/1994,22.1,11.6,0,1.6,2.98,0.8,16.85
26/09/1994,19.2,12,0,1.3,2.76,1.3,15.6
27/09/1994,18.3,12.1,0,1.6,2.41,3.2,15.2
28/09/1994,17.8,11.2,0,1.3,2.04,2.1,14.5
29/09/1994,17,8.4,0,1.1,1.69,1.4,12.7
30/09/1994,18.8,10.7,0,1.5,2.6,1.6,14.75
01/10/1994,17.3,11.3,0,1,1.6,1.1,14.3
02/10/1994,17,12.7,5.2,1.3,1.59,3.5,14.85
03/10/1994,15.7,12.9,7.4,1,1.25,3.1,14.3
04/10/1994,10.4,5.1,6.6,0.9,1.54,2.8,7.75
05/10/1994,12.6,5.3,1.3,1.1,2.35,1.9,8.95
06/10/1994,14,4.8,0,1,1.87,1.3,9.4
07/10/1994,13.6,4.7,0,1,2.47,0.7,9.15
08/10/1994,12.7,1.2,0,0.8,1.68,0.6,6.95
09/10/1994,15.6,2.1,0,1.1,3.12,0.8,8.85
10/10/1994,17.3,2.2,0,1.2,3.09,1.8,9.75
11/10/1994,17.8,3.3,0,1,2.74,0.9,10.55
12/10/1994,18.1,2.4,0,1.1,3.03,1.8,10.25
13/10/1994,15.4,2.6,0.1,0.9,2.65,1.6,9
14/10/1994,20.7,2.5,0,1,3.05,0.3,11.6
15/10/1994,21.1,3,0,1,2.5,1.3,12.05
16/10/1994,13,4.8,0,1,1.24,2.8,8.9
17/10/1994,11,4,0,1.3,2.91,3,7.5
18/10/1994,11.5,0.3,0,1.2,2.92,3.4,5.9
19/10/1994,15.5,1,0,1.1,1.62,2.7,8.25
20/10/1994,16.1,3.2,0,1.1,2.14,2.2,9.65
21/10/1994,14.7,5.5,0.2,0.8,0.95,2.5,10.1
22/10/1994,16.4,6.9,3.4,1.3,0.56,5.7,11.65
23/10/1994,17.1,11.6,3.5,1.4,1.51,4.9,14.35
24/10/1994,14.4,10,0.6,1,1.23,3.5,12.2
25/10/1994,13.6,8.9,4.9,1.1,0.99,5.3,11.25
26/10/1994,13,6.8,1.1,1.3,2.23,6.1,9.9
27/10/1994,10.2,6.6,3.2,0.7,0.77,4.2,8.4
28/10/1994,12.4,6,0.7,0.8,1.93,3.5,9.2
29/10/1994,14.1,5.6,18.4,0.8,0.5,6.7,9.85
30/10/1994,16,6.3,11,0.9,0.26,7.8,11.15
31/10/1994,14.1,13.6,4.4,1.2,0.23,6.6,13.85
01/11/1994,14,10.3,0.1,0.9,2.06,3.1,12.15
02/11/1994,13.4,1.9,0,0.5,1.84,2.5,7.65
03/11/1994,18.6,2,0,0.9,1.86,3.3,10.3
04/11/1994,20.4,6.8,0,1,1.65,2.9,13.6
05/11/1994,18.6,9.6,0,0.8,1.29,2.1,14.1
06/11/1994,14.9,9.9,0,0.5,1.18,1.3,12.4
07/11/1994,12.4,6.5,0,0.4,0.5,0.9,9.45
08/11/1994,16.1,6.2,0,0.4,1.84,1.8,11.15
09/11/1994,12.5,4.1,8.6,0.4,1.05,2.5,8.3
10/11/1994,11.7,4.6,0.2,0.4,0.4,0.5,8.15
11/11/1994,12.9,8.6,0.5,0.4,0.7,1.7,10.75
12/11/1994,12.9,9,4.9,0.5,0.62,2.2,10.95
13/11/1994,14.3,9.4,1,1,0.93,6,11.85
14/11/1994,15,10.4,17,0.8,0.19,7.3,12.7
15/11/1994,14.6,12.4,1.1,1.4,1.14,6.8,13.5
16/11/1994,11.9,8.8,1.7,0.7,0.94,4,10.35
17/11/1994,11.8,7.1,0.9,0.9,0.96,5,9.45
18/11/1994,11.3,8.7,0.3,0.5,0.41,2.6,10
19/11/1994,15.2,6.9,1.1,0.5,0.15,4.7,11.05
20/11/1994,15,9.8,0.4,0.8,0.45,4.3,12.4
21/11/1994,11.5,7.1,0,0.3,0.4,0.8,9.3
22/11/1994,13.7,5.6,0,0.2,1.06,0.9,9.65
23/11/1994,13.8,5.3,0,0.4,0.85,3.3,9.55
24/11/1994,12.9,10,0.2,0.5,0.26,2,11.45
25/11/1994,10.9,5.2,0.4,0.3,0.7,1.8,8.05
26/11/1994,13,5.5,0.7,0.4,0.16,2.6,9.25
27/11/1994,11.2,10.7,0,0.4,0.31,0.7,10.95
28/11/1994,11.7,9.1,0,0.4,0.31,0.5,10.4
29/11/1994,7.9,5.2,0,0.3,0.48,2,6.55
30/11/1994,4.4,2.5,0,0.2,0.3,1.6,3.45
01/12/1994,6.1,0.5,0,0.2,0.63,1,3.3
02/12/1994,6.3,-1.5,0,0,1.09,1.6,2.4
03/12/1994,14,-2.1,3.1,0.6,0.91,4.6,5.95
04/12/1994,14.5,4.1,1.4,1.2,0.43,6.1,9.3
05/12/1994,12.1,9,0.9,1.1,0.95,6.3,10.55
06/12/1994,10,6.8,0,0.9,1,5,8.4
07/12/1994,10.5,5.1,3.8,1.1,0.24,5.9,7.8
08/12/1994,12,6.4,28,0.8,0.16,7.9,9.2
09/12/1994,8.4,6.5,0,0.1,0.76,1.4,7.45
10/12/1994,14,0.5,1,0.8,0.28,7,7.25
11/12/1994,15.1,1.6,0,1.2,0.72,7.5,8.35
12/12/1994,14,12.2,0,1.2,0.39,7.3,13.1
13/12/1994,13.1,12,3,0.7,0.2,4,12.55
14/12/1994,8.4,3.7,0.2,0.1,0.85,1.3,6.05
15/12/1994,3.9,-2.2,0.1,0.2,0.5,2,0.85
16/12/1994,6.1,-1.4,0.9,0.3,0.23,1.9,2.35
17/12/1994,7.2,0.3,0,0.6,0.21,4.4,3.75
18/12/1994,7.6,2.4,1.6,0.5,0.53,5.2,5
19/12/1994,7.6,3.7,1.3,0.3,0.87,3.8,5.65
20/12/1994,6.7,1.8,1,0.2,0.88,3.2,4.25
21/12/1994,5.5,1.7,1.2,0.1,0.65,1.2,3.6
22/12/1994,1.4,-0.1,0,0.2,0.41,1.9,0.65
23/12/1994,1.4,-1.4,0,0,0.89,1.7,0
24/12/1994,-1,-5.4,0,0,1.21,1.4,-3.2
25/12/1994,0.7,-5.9,3.7,0.4,0.26,4.6,-2.6
26/12/1994,9.8,-4.6,5,0.4,0.17,6.2,2.6
27/12/1994,12.9,0.6,27.4,0.5,0.11,8,6.75
28/12/1994,14.4,9.6,7.7,1.1,0.11,9.7,12
29/12/1994,12.2,10.9,9.7,1.4,0.2,9.1,11.55
30/12/1994,8,5.3,1.8,1.2,0.4,9.7,6.65
31/12/1994,6.3,4.7,5,0.6,0.4,5.2,5.5
01/01/1995,4,2.5,8.2,0.8,0.66,8.1,3.25
02/01/1995,5.6,0.2,3.4,0.7,0.47,3.5,2.9
03/01/1995,2.6,-0.1,0,0.2,0.52,1.2,1.25
04/01/1995,1.7,-6.5,0,0,1.4,1.8,-2.4
05/01/1995,-0.5,-8.3,2.9,0.3,1.34,4,-4.4
06/01/1995,1.2,-8.7,0.2,0.2,0.41,1.3,-3.75
07/01/1995,0.6,-3.5,0,0.2,0.61,1.7,-1.45
08/01/1995,5.5,-5.2,4.9,0.4,0.16,3.4,0.15
09/01/1995,9.2,0.7,1.1,0.9,0.46,7,4.95
10/01/1995,9.2,2.8,9.5,0.8,0.57,5.7,6
11/01/1995,4.9,3.4,5.6,0.5,0.87,5,4.15
12/01/1995,6.1,1.7,2.4,0.4,0.82,3.2,3.9
13/01/1995,5.7,0.5,0.6,0.3,0.65,2.9,3.1
14/01/1995,7.4,2.4,0.7,0.3,0.46,4,4.9
15/01/1995,8,5.2,1.4,0.4,0.29,3.5,6.6
16/01/1995,6.9,3.6,0,0.6,1.28,4.4,5.25
17/01/1995,10.5,1.8,2.1,1.7,1.01,7.1,6.15
18/01/1995,8.1,3.5,2.4,0.6,0.55,4,5.8
19/01/1995,10,3.8,4,1.4,1.05,8.7,6.9
20/01/1995,10.1,3.8,0.5,1.3,1.11,6.6,6.95
21/01/1995,10.1,5.2,8.9,1.1,1.01,9,7.65
22/01/1995,14.2,4.6,18.8,1.1,0.21,7.4,9.4
23/01/1995,8.3,5.9,1.9,1.3,0.97,8.4,7.1
24/01/1995,7.8,5.1,7.7,0.8,0.82,5.4,6.45
25/01/1995,12.8,3.5,7,0.6,0.31,5.4,8.15
26/01/1995,11.7,3.3,13.1,1.1,0.25,7.3,7.5
27/01/1995,10.4,1.4,11.7,0.8,1.15,6.7,5.9
28/01/1995,10.4,1.1,10.7,1,0.6,8,5.75
29/01/1995,10.8,7.2,25.1,0.7,0.19,5.9,9
30/01/1995,6.3,4,0,0.6,1.34,2.3,5.15
31/01/1995,11.1,0.3,0.1,1.4,0.43,7.5,5.7
01/02/1995,13,1.6,10.8,0.8,0.79,5.8,7.3
02/02/1995,8.5,5.1,0,0.6,1.29,1.8,6.8
03/02/1995,8.3,1.2,0,0.9,1.08,5.1,4.75
04/02/1995,9.8,3.2,0,0.4,0.46,3.6,6.5
05/02/1995,10.2,6.2,0.2,0.5,0.8,4.2,8.2
06/02/1995,11.1,6.4,0.1,1,0.48,6.5,8.75
07/02/1995,9.7,8.6,1.6,0.9,0.37,6,9.15
08/02/1995,10.8,7.9,8.5,0.6,0.43,3.5,9.35
09/02/1995,5,1.1,0,0.5,1.75,1.6,3.05
10/02/1995,8.8,-0.4,6,0.5,0.35,4,4.2
11/02/1995,11.5,0.3,3,1,0.63,7.9,5.9
12/02/1995,11.8,7.3,0,1.2,2.03,4.7,9.55
13/02/1995,12.1,5.1,5,1,0.67,5.5,8.6
14/02/1995,11.1,5.2,9.3,1.2,1.7,6.8,8.15
15/02/1995,13.7,6.9,5.1,1.6,1.5,7.6,10.3
16/02/1995,11,6.7,5.8,1.6,1.29,8.9,8.85
17/02/1995,9.5,5.9,0.4,1.2,1.55,5.4,7.7
18/02/1995,8.7,4.2,3.4,1.1,1.53,5.6,6.45
19/02/1995,11.6,3.9,13.1,0.8,0.4,7.3,7.75
20/02/1995,11.9,6.7,1.4,1.2,1.31,5,9.3
21/02/1995,9.6,8,2.7,1,0.87,5.5,8.8
22/02/1995,9.3,2.7,2,1.7,2.68,7.4,6
