,n,Ksat_cm_h,b,theta_PWP,theta_FC,theta_S,remarks
Sand,0.395,63.36,4.05,0.05022058,0.102827924,0.461722408,water retention from Rawls and Saxton
Loamy sand,0.41,56.16,4.38,0.0509593,0.120244545,0.460225685,
Sandy loam,0.435,12.49,4.9,0.0807703,0.179167612,0.449894652,
Silt loam,0.485,2.59,5.3,0.1098631,0.305182953,0.478724933,
Loam,0.451,2.5,5.39,0.1370236,0.279610165,0.459478245,
Sandy clay loam,0.42,2.27,7.12,0.1657345,0.26704505,0.43413075,
Silty clay loam,0.477,0.612,7.75,0.2151877,0.381835103,0.511219963,
Clay loam,0.476,0.882,8.52,0.2179921,0.357897913,0.477240693,
Sandy clay,0.426,0.781,10.4,0.248641,0.361115103,0.443789903,
Silty clay,0.492,0.371,10.4,0.2677759,0.409130349,0.523480369,
Clay,0.482,0.461,11.4,0.2979175,0.42063063,0.49843463,
